countyFIPS,State,County Name_x,population,2020-06-07 00:00:00,2020-06-14 00:00:00,2020-06-21 00:00:00,2020-06-28 00:00:00,2020-07-05 00:00:00,2020-07-12 00:00:00,2020-07-19 00:00:00,2020-07-26 00:00:00,2020-08-02 00:00:00,2020-08-09 00:00:00,2020-08-16 00:00:00,2020-08-23 00:00:00,2020-08-30 00:00:00,2020-09-06 00:00:00,2020-09-13 00:00:00,2020-09-20 00:00:00,2020-09-27 00:00:00,2020-10-04 00:00:00,2020-10-11 00:00:00,2020-10-18 00:00:00,2020-10-25 00:00:00,2020-11-01 00:00:00,2020-11-08 00:00:00,2020-11-15 00:00:00,2020-11-22 00:00:00,2020-11-29 00:00:00,2020-12-06 00:00:00,2020-12-13 00:00:00,2020-12-20 00:00:00,2020-12-27 00:00:00,2021-01-03 00:00:00
16079,ID,Shoshone County ,12882,0,0,0,0,6,43,110,242,446,602,998,1241,1350,1397,1447,1479,1502,1513,1532,1575,1730,1938,2134,2510,3037,3378,3730,4345,4962,5504,5839
16081,ID,Teton County ,12142,77,77,88,104,141,180,270,348,387,500,635,767,859,902,961,989,1093,1310,1520,1719,1887,2040,2336,2873,3263,3684,4040,4305,4495,4704,5016
16083,ID,Twin Falls County ,86878,3047,3295,3504,3760,4408,5400,6206,6919,8130,9197,10351,10927,11462,12097,12850,13811,15079,16763,19071,21791,25302,29033,33614,38639,43277,46584,49155,51325,52910,54047,55427
16085,ID,Valley County ,11392,14,21,21,45,104,160,216,281,317,381,480,539,563,592,601,602,624,673,718,745,779,846,1044,1277,1445,1624,1868,2164,2489,2795,3317
16087,ID,Washington County ,10194,308,350,519,673,761,883,972,1109,1257,1390,1563,1736,1844,2047,2187,2275,2457,2619,2765,2896,3037,3262,3598,3972,4503,5083,5545,5864,6318,6617,6926
0,MT,Statewide Unallocated,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30001,MT,Beaverhead County ,9453,7,7,7,7,8,20,46,122,259,399,463,479,487,497,508,528,568,776,1174,1550,1735,1934,2244,2680,3481,3910,4129,4497,4975,5247,5373
30003,MT,Big Horn County ,13319,239,302,370,521,609,765,923,1271,2000,2736,3343,3927,4360,4849,5258,5674,6109,6571,7020,7614,8627,9621,10428,11084,12052,12413,12832,13375,13875,14040,14347
30005,MT,Blaine County ,6681,0,0,0,0,0,0,8,44,52,68,89,102,105,105,105,108,137,315,729,1192,1791,2255,2763,3085,3314,3571,3752,3926,4073,4161,4223
30007,MT,Broadwater County ,6237,28,28,29,35,35,42,63,64,70,78,94,98,111,112,116,119,119,125,145,215,362,571,708,885,1082,1295,1447,1653,1839,1954,2056
